exam_i,exam_j
1,2
1,3
1,4
1,6
1,9
1,11
1,13
1,14
1,15
1,20
1,23
1,24
1,29
1,34
1,35
1,36
1,37
1,38
2,3
2,6
2,10
2,11
2,13
2,14
2,15
2,22
2,25
2,26
2,28
2,30
2,32
2,34
2,36
3,5
3,6
3,7
3,8
3,12
3,13
3,14
3,15
3,16
3,19
3,20
3,21
3,26
3,29
3,31
3,35
3,36
3,37
4,5
4,7
4,8
4,10
4,11
4,13
4,16
4,17
4,19
4,21
4,24
4,29
4,32
4,33
4,34
4,35
4,37
5,9
5,10
5,12
5,16
5,17
5,19
5,21
5,22
5,24
5,26
5,28
5,30
5,34
5,37
6,7
6,12
6,13
6,16
6,18
6,21
6,23
6,24
6,25
6,26
6,29
6,30
6,31
6,35
7,8
7,9
7,12
7,14
7,15
7,16
7,18
7,19
7,21
7,23
7,24
7,27
7,28
7,29
7,30
7,32
7,33
7,34
7,37
8,9
8,13
8,14
8,15
8,16
8,18
8,19
8,20
8,21
8,23
8,25
8,26
8,28
8,30
8,31
8,33
8,35
8,36
8,38
9,11
9,12
9,13
9,15
9,16
9,17
9,20
9,24
9,25
9,26
9,27
9,28
9,29
9,30
9,34
9,35
9,36
9,38
10,11
10,14
10,15
10,16
10,17
10,18
10,20
10,21
10,23
10,24
10,25
10,26
10,27
10,28
10,29
10,34
10,35
11,15
11,17
11,18
11,22
11,23
11,25
11,26
11,27
11,28
11,29
11,31
11,32
11,35
11,36
11,38
12,13
12,18
12,21
12,22
12,24
12,25
12,32
12,38
13,14
13,16
13,19
13,22
13,24
13,26
13,27
13,28
13,29
13,30
13,31
13,34
13,38
14,15
14,16
14,17
14,19
14,21
14,22
14,25
14,26
14,27
14,31
14,32
14,33
14,37
14,38
15,16
15,20
15,21
15,22
15,28
15,30
15,31
15,32
15,35
15,36
15,37
15,38
16,21
16,22
16,23
16,24
16,25
16,28
16,31
16,33
16,36
16,38
17,18
17,19
17,20
17,24
17,26
17,27
17,30
17,31
17,32
17,33
17,36
17,37
17,38
18,21
18,24
18,25
18,26
18,27
18,29
18,34
18,35
18,36
18,37
18,38
19,26
19,27
19,28
19,30
19,31
19,32
19,33
19,37
20,24
20,25
20,27
20,30
20,34
20,37
20,38
21,24
21,25
21,28
21,29
21,30
21,34
21,37
22,24
22,27
22,31
22,37
22,38
23,24
23,25
23,30
23,31
23,32
23,35
24,29
24,31
24,32
24,34
24,38
25,26
25,28
25,29
25,30
25,32
25,35
25,37
26,27
26,28
26,29
26,30
26,32
26,35
26,37
27,28
27,29
27,33
27,36
27,37
27,38
28,29
28,31
28,32
28,33
28,35
28,36
29,30
30,33
30,37
31,32
31,33
31,36
31,38
32,33
32,34
32,35
32,36
33,34
33,36
33,37
34,37
35,38
