exam_i,exam_j
1,4
1,6
1,7
1,9
1,10
1,12
1,13
1,18
1,19
1,21
1,26
1,28
1,29
1,31
1,33
1,34
1,36
1,40
1,41
1,42
1,43
1,44
1,48
1,50
1,51
1,52
1,53
1,56
1,57
1,58
1,59
1,61
1,63
1,65
1,67
1,70
1,75
2,3
2,6
2,7
2,9
2,11
2,14
2,15
2,18
2,19
2,20
2,21
2,22
2,23
2,25
2,27
2,29
2,31
2,32
2,33
2,34
2,36
2,37
2,39
2,40
2,43
2,45
2,49
2,50
2,51
2,54
2,56
2,58
2,60
2,61
2,62
2,64
2,65
2,68
2,69
2,70
2,71
2,72
2,73
3,5
3,6
3,11
3,13
3,14
3,15
3,16
3,19
3,21
3,22
3,24
3,25
3,29
3,30
3,31
3,34
3,36
3,41
3,42
3,44
3,51
3,54
3,58
3,62
3,64
3,65
3,66
3,67
3,68
3,69
3,72
4,5
4,7
4,8
4,10
4,11
4,15
4,16
4,17
4,19
4,21
4,22
4,23
4,24
4,26
4,27
4,32
4,35
4,40
4,41
4,44
4,45
4,46
4,48
4,50
4,53
4,59
4,61
4,63
4,64
4,65
4,66
4,67
4,70
4,72
4,75
5,7
5,11
5,14
5,17
5,18
5,20
5,21
5,23
5,25
5,26
5,27
5,28
5,29
5,30
5,32
5,33
5,35
5,36
5,37
5,42
5,48
5,49
5,50
5,52
5,54
5,55
5,56
5,58
5,60
5,61
5,64
5,65
5,67
5,68
5,70
5,71
5,73
5,74
6,7
6,8
6,10
6,11
6,13
6,15
6,18
6,21
6,23
6,24
6,27
6,30
6,31
6,33
6,34
6,35
6,36
6,39
6,41
6,45
6,47
6,48
6,50
6,53
6,57
6,60
6,61
6,62
6,65
6,66
6,68
6,69
6,73
6,74
7,8
7,9
7,12
7,13
7,16
7,18
7,19
7,20
7,25
7,29
7,30
7,31
7,32
7,33
7,34
7,35
7,37
7,38
7,39
7,41
7,42
7,43
7,44
7,45
7,48
7,50
7,51
7,53
7,54
7,55
7,56
7,58
7,59
7,64
7,73
7,74
8,11
8,15
8,16
8,19
8,21
8,23
8,25
8,26
8,28
8,29
8,31
8,32
8,36
8,37
8,39
8,41
8,42
8,46
8,48
8,49
8,50
8,51
8,55
8,56
8,59
8,60
8,61
8,62
8,64
8,65
8,66
8,67
8,69
8,70
8,71
8,72
9,11
9,15
9,20
9,21
9,22
9,24
9,25
9,28
9,29
9,31
9,32
9,34
9,36
9,40
9,42
9,43
9,46
9,48
9,50
9,52
9,53
9,56
9,57
9,58
9,59
9,60
9,62
9,64
9,66
9,70
9,71
9,72
9,75
10,13
10,17
10,22
10,23
10,24
10,25
10,26
10,28
10,34
10,39
10,40
10,42
10,47
10,48
10,49
10,51
10,57
10,59
10,60
10,61
10,66
10,67
10,69
10,71
10,73
10,74
10,75
11,12
11,14
11,16
11,17
11,18
11,19
11,20
11,27
11,30
11,31
11,32
11,33
11,35
11,37
11,38
11,40
11,42
11,44
11,46
11,47
11,50
11,51
11,52
11,54
11,59
11,60
11,64
11,65
11,66
11,67
11,71
11,72
11,73
11,75
12,13
12,15
12,21
12,22
12,24
12,25
12,26
12,27
12,31
12,33
12,34
12,35
12,36
12,37
12,39
12,41
12,42
12,44
12,47
12,48
12,53
12,54
12,55
12,58
12,61
12,62
12,63
12,65
12,68
12,69
12,73
13,14
13,16
13,17
13,20
13,22
13,23
13,26
13,27
13,28
13,30
13,33
13,34
13,35
13,36
13,38
13,39
13,41
13,44
13,47
13,48
13,51
13,53
13,54
13,55
13,58
13,59
13,60
13,61
13,63
13,66
13,68
13,70
13,72
13,74
14,15
14,16
14,17
14,19
14,22
14,23
14,25
14,27
14,31
14,32
14,35
14,36
14,37
14,39
14,40
14,41
14,44
14,46
14,47
14,51
14,53
14,54
14,55
14,56
14,58
14,60
14,61
14,62
14,63
14,66
14,70
14,73
14,74
15,18
15,21
15,23
15,28
15,31
15,33
15,35
15,36
15,37
15,39
15,40
15,46
15,51
15,52
15,54
15,57
15,58
15,60
15,63
15,64
15,68
15,69
15,70
15,71
15,73
15,74
15,75
16,17
16,18
16,27
16,28
16,32
16,33
16,34
16,35
16,36
16,38
16,45
16,46
16,47
16,49
16,50
16,51
16,52
16,53
16,55
16,56
16,57
16,65
16,66
16,68
16,70
16,74
16,75
17,18
17,20
17,21
17,23
17,24
17,26
17,29
17,30
17,31
17,32
17,33
17,36
17,37
17,38
17,40
17,41
17,42
17,43
17,45
17,46
17,48
17,50
17,51
17,55
17,56
17,58
17,62
17,63
17,64
17,66
17,68
17,70
17,71
18,20
18,22
18,23
18,25
18,29
18,30
18,32
18,33
18,34
18,36
18,37
18,38
18,42
18,47
18,49
18,50
18,52
18,54
18,58
18,63
18,65
18,70
18,72
19,20
19,24
19,25
19,27
19,29
19,33
19,34
19,35
19,41
19,43
19,45
19,48
19,49
19,50
19,51
19,53
19,54
19,58
19,60
19,61
19,62
19,63
19,65
19,66
19,67
19,68
19,69
19,71
19,74
20,21
20,24
20,25
20,27
20,28
20,29
20,30
20,38
20,39
20,42
20,45
20,47
20,48
20,50
20,51
20,57
20,59
20,60
20,61
20,62
20,64
20,67
20,70
21,23
21,26
21,29
21,30
21,31
21,33
21,35
21,37
21,39
21,43
21,46
21,50
21,53
21,54
21,55
21,57
21,59
21,62
21,63
21,64
21,68
21,69
21,70
21,71
21,72
21,73
21,74
21,75
22,23
22,25
22,27
22,28
22,31
22,34
22,36
22,41
22,42
22,44
22,48
22,49
22,52
22,53
22,57
22,58
22,59
22,63
22,66
22,69
22,73
22,75
23,24
23,25
23,26
23,28
23,30
23,31
23,34
23,36
23,37
23,39
23,43
23,46
23,52
23,56
23,63
23,64
23,65
23,72
24,26
24,27
24,30
24,33
24,35
24,36
24,39
24,40
24,42
24,43
24,45
24,46
24,47
24,49
24,51
24,53
24,56
24,58
24,59
24,61
24,63
24,64
24,65
24,66
24,68
24,73
24,75
25,26
25,27
25,29
25,32
25,33
25,34
25,40
25,42
25,43
25,45
25,49
25,51
25,53
25,54
25,55
25,57
25,58
25,60
25,61
25,63
25,67
25,68
25,72
25,75
26,27
26,30
26,32
26,33
26,34
26,35
26,38
26,39
26,41
26,42
26,43
26,44
26,45
26,46
26,47
26,48
26,50
26,51
26,53
26,55
26,59
26,60
26,62
26,64
26,65
26,66
26,68
26,69
26,70
26,72
26,75
27,28
27,29
27,31
27,36
27,37
27,38
27,40
27,41
27,42
27,45
27,48
27,50
27,52
27,53
27,56
27,57
27,59
27,60
27,61
27,63
27,64
27,65
27,66
27,67
27,73
27,74
27,75
28,29
28,30
28,32
28,34
28,35
28,39
28,41
28,42
28,43
28,44
28,45
28,46
28,47
28,48
28,50
28,53
28,54
28,58
28,59
28,60
28,61
28,64
28,66
28,70
28,72
28,73
28,75
29,30
29,32
29,33
29,35
29,38
29,39
29,40
29,41
29,42
29,46
29,48
29,56
29,63
29,64
29,65
29,66
29,67
29,68
29,70
29,72
29,74
29,75
30,31
30,34
30,35
30,36
30,40
30,42
30,43
30,44
30,47
30,48
30,49
30,50
30,55
30,57
30,58
30,63
30,64
30,65
30,67
30,68
30,69
30,71
31,33
31,36
31,37
31,42
31,43
31,46
31,47
31,53
31,54
31,55
31,61
31,63
31,64
31,65
31,66
31,69
31,70
31,71
31,72
31,73
31,74
32,33
32,34
32,35
32,37
32,41
32,42
32,43
32,45
32,46
32,47
32,49
32,50
32,54
32,55
32,62
32,69
32,70
32,71
32,73
32,75
33,34
33,39
33,40
33,41
33,42
33,43
33,46
33,48
33,51
33,52
33,53
33,55
33,56
33,57
33,58
33,59
33,64
33,66
33,69
33,71
33,72
33,74
34,35
34,37
34,38
34,40
34,41
34,44
34,48
34,49
34,51
34,52
34,53
34,54
34,56
34,58
34,62
34,66
34,67
34,68
34,69
34,70
34,72
34,73
34,74
35,37
35,38
35,39
35,44
35,47
35,49
35,51
35,52
35,53
35,54
35,58
35,59
35,60
35,61
35,66
35,69
35,71
35,72
35,73
35,75
36,38
36,41
36,43
36,45
36,46
36,47
36,48
36,50
36,51
36,56
36,57
36,59
36,60
36,62
36,63
36,64
36,65
36,66
36,67
36,74
37,38
37,41
37,43
37,44
37,45
37,46
37,48
37,49
37,50
37,53
37,54
37,55
37,57
37,58
37,61
37,62
37,63
37,64
37,66
37,69
37,71
37,74
38,40
38,42
38,45
38,46
38,51
38,53
38,54
38,57
38,59
38,60
38,62
38,65
38,66
38,67
38,69
38,71
38,72
38,73
38,75
39,41
39,45
39,47
39,51
39,52
39,55
39,60
39,61
39,62
39,63
39,64
39,69
39,71
39,72
39,74
39,75
40,41
40,42
40,43
40,45
40,47
40,48
40,49
40,50
40,59
40,64
40,65
40,66
40,67
40,69
40,70
41,42
41,51
41,55
41,56
41,57
41,63
41,65
41,66
41,67
41,68
41,71
41,72
41,73
41,74
42,45
42,49
42,52
42,54
42,55
42,57
42,60
42,63
42,65
42,66
42,67
42,71
43,44
43,45
43,47
43,50
43,51
43,54
43,55
43,56
43,59
43,63
43,65
43,66
43,69
43,70
43,71
43,72
43,73
43,75
44,45
44,46
44,49
44,50
44,52
44,54
44,56
44,57
44,61
44,62
44,63
44,65
44,66
44,68
44,69
44,70
44,71
44,72
44,73
44,75
45,46
45,47
45,48
45,50
45,54
45,56
45,58
45,59
45,61
45,63
45,64
45,65
45,66
45,67
45,69
45,71
45,74
46,48
46,49
46,50
46,51
46,53
46,55
46,57
46,58
46,62
46,65
46,66
46,68
46,73
47,51
47,52
47,53
47,54
47,56
47,58
47,60
47,61
47,63
47,65
47,66
47,67
47,70
47,75
48,49
48,50
48,52
48,53
48,55
48,57
48,59
48,61
48,63
48,64
48,67
48,68
48,70
48,72
48,74
49,50
49,51
49,52
49,55
49,56
49,57
49,58
49,62
49,66
49,68
49,69
49,71
49,73
49,74
50,53
50,58
50,61
50,62
50,63
50,65
50,66
50,68
50,69
50,70
50,72
50,73
50,74
51,53
51,55
51,56
51,57
51,58
51,61
51,62
51,63
51,67
51,69
51,70
51,71
51,73
51,74
52,53
52,56
52,59
52,62
52,63
52,64
52,67
52,70
52,73
53,57
53,58
53,59
53,60
53,62
53,64
53,67
53,68
53,69
53,71
53,73
53,74
54,55
54,65
54,66
54,67
54,71
55,56
55,60
55,62
55,64
55,65
55,69
55,70
55,74
55,75
56,58
56,61
56,62
56,63
56,64
56,67
56,68
56,69
56,70
56,72
56,73
56,75
57,61
57,62
57,63
57,64
57,65
57,72
57,73
57,74
58,59
58,60
58,61
58,63
58,64
58,70
58,71
58,74
58,75
59,61
59,62
59,63
59,67
59,70
59,71
59,72
59,75
60,61
60,63
60,64
60,68
60,74
60,75
61,62
61,64
61,65
61,67
61,69
61,70
61,71
61,72
62,73
62,75
63,66
63,67
63,68
63,71
63,72
64,68
64,69
64,72
64,73
65,68
65,72
65,74
66,71
66,73
67,68
67,69
67,70
67,75
68,70
68,71
68,72
68,73
68,74
68,75
69,70
69,71
69,73
69,75
70,74
70,75
71,72
71,73
71,74
71,75
72,74
72,75
73,74
73,75
