exam_i,exam_j
1,5
1,8
1,17
1,18
1,19
1,23
1,26
1,27
1,29
1,31
1,32
1,33
1,35
1,38
1,41
1,43
1,44
1,46
1,47
1,49
1,50
1,52
1,54
1,55
1,56
1,58
1,61
1,62
1,64
1,65
2,3
2,5
2,7
2,10
2,12
2,13
2,14
2,15
2,17
2,18
2,19
2,20
2,23
2,25
2,28
2,29
2,30
2,31
2,32
2,33
2,37
2,38
2,41
2,43
2,44
2,45
2,48
2,49
2,50
2,56
2,60
2,63
2,65
3,5
3,6
3,11
3,12
3,13
3,18
3,20
3,22
3,23
3,25
3,28
3,29
3,32
3,34
3,35
3,36
3,37
3,43
3,46
3,48
3,49
3,52
3,55
3,58
3,61
3,62
3,64
3,65
4,7
4,8
4,12
4,13
4,14
4,19
4,22
4,24
4,28
4,33
4,34
4,39
4,44
4,45
4,46
4,48
4,54
4,55
4,56
4,57
4,63
4,65
5,6
5,8
5,9
5,10
5,12
5,14
5,15
5,16
5,17
5,19
5,21
5,23
5,27
5,28
5,33
5,34
5,38
5,39
5,46
5,49
5,50
5,51
5,52
5,55
5,56
5,57
5,58
5,62
5,63
5,64
6,7
6,11
6,12
6,15
6,17
6,24
6,25
6,27
6,28
6,30
6,31
6,34
6,36
6,38
6,40
6,41
6,42
6,44
6,45
6,46
6,48
6,49
6,50
6,51
6,52
6,55
6,56
6,57
6,58
6,60
6,61
6,62
6,64
6,65
7,10
7,13
7,15
7,17
7,19
7,20
7,22
7,23
7,27
7,28
7,29
7,31
7,35
7,37
7,38
7,39
7,40
7,44
7,48
7,49
7,50
7,51
7,52
7,54
7,55
7,56
7,58
7,59
7,62
7,64
7,65
8,9
8,10
8,13
8,14
8,15
8,16
8,17
8,19
8,20
8,21
8,23
8,24
8,25
8,29
8,33
8,34
8,35
8,37
8,41
8,43
8,44
8,48
8,51
8,53
8,55
8,58
8,59
8,61
8,65
9,10
9,14
9,15
9,16
9,17
9,18
9,20
9,22
9,23
9,25
9,26
9,28
9,31
9,34
9,35
9,39
9,40
9,41
9,43
9,44
9,46
9,49
9,53
9,56
9,58
9,59
9,63
9,64
10,12
10,13
10,14
10,15
10,16
10,17
10,18
10,19
10,20
10,22
10,24
10,25
10,28
10,34
10,35
10,38
10,40
10,44
10,45
10,47
10,48
10,49
10,50
10,51
10,53
10,57
10,58
10,60
10,65
11,13
11,14
11,15
11,16
11,17
11,19
11,21
11,22
11,23
11,25
11,29
11,31
11,33
11,34
11,37
11,39
11,40
11,45
11,46
11,48
11,56
11,57
11,58
11,59
11,60
11,61
11,62
11,64
12,14
12,16
12,17
12,18
12,22
12,25
12,26
12,27
12,29
12,30
12,31
12,32
12,33
12,37
12,42
12,43
12,46
12,55
12,57
12,58
12,60
12,61
12,63
12,64
13,15
13,17
13,20
13,21
13,22
13,24
13,25
13,27
13,29
13,30
13,32
13,34
13,35
13,36
13,37
13,38
13,39
13,42
13,43
13,49
13,50
13,53
13,55
13,56
13,57
13,59
13,60
13,61
13,64
13,65
14,15
14,16
14,20
14,22
14,23
14,24
14,25
14,27
14,30
14,31
14,34
14,35
14,38
14,39
14,40
14,41
14,43
14,47
14,48
14,50
14,51
14,57
14,58
14,60
14,61
14,62
15,16
15,17
15,18
15,20
15,21
15,22
15,24
15,25
15,28
15,29
15,30
15,31
15,35
15,37
15,38
15,41
15,42
15,43
15,44
15,45
15,46
15,56
15,61
15,63
15,64
15,65
16,17
16,19
16,20
16,21
16,22
16,23
16,26
16,27
16,28
16,29
16,32
16,34
16,35
16,38
16,39
16,40
16,43
16,44
16,49
16,50
16,51
16,53
16,54
16,56
16,57
16,59
16,64
16,65
17,22
17,23
17,24
17,25
17,26
17,28
17,31
17,33
17,34
17,36
17,37
17,38
17,39
17,42
17,43
