exam_i,exam_j
1,2
1,3
1,4
1,6
1,8
1,9
1,11
1,12
1,13
1,14
1,15
1,16
1,19
1,22
1,23
1,24
1,27
1,28
1,29
1,31
1,33
1,34
1,36
1,38
1,40
1,41
1,42
1,43
1,46
1,47
1,56
1,58
1,59
1,61
1,64
1,65
1,67
1,68
1,69
1,70
1,73
1,74
1,75
2,3
2,6
2,7
2,9
2,11
2,13
2,16
2,18
2,19
2,20
2,21
2,25
2,29
2,30
2,32
2,34
2,35
2,42
2,43
2,44
2,45
2,46
2,47
2,48
2,50
2,52
2,57
2,62
2,65
2,67
2,70
2,73
2,75
3,5
3,6
3,7
3,9
3,10
3,12
3,17
3,19
3,21
3,23
3,25
3,27
3,28
3,29
3,31
3,34
3,37
3,38
3,39
3,41
3,42
3,43
3,44
3,46
3,48
3,50
3,55
3,56
3,59
3,61
3,65
3,67
3,69
3,72
3,73
4,6
4,7
4,13
4,15
4,16
4,19
4,26
4,28
4,29
4,31
4,33
4,40
4,41
4,43
4,44
4,47
4,48
4,49
4,51
4,54
4,56
4,58
4,59
4,60
4,62
4,63
4,64
4,65
4,66
4,67
4,69
4,72
4,74
4,75
5,6
5,8
5,9
5,13
5,14
5,15
5,16
5,18
5,19
5,20
5,24
5,29
5,34
5,40
5,41
5,44
5,45
5,47
5,48
5,56
5,62
5,65
5,66
5,67
5,68
5,70
6,8
6,9
6,12
6,14
6,16
6,17
6,18
6,19
6,21
6,22
6,28
6,29
6,32
6,33
6,35
6,36
6,37
6,40
6,41
6,43
6,44
6,45
6,47
6,50
6,51
6,52
6,54
6,56
6,57
6,60
6,62
6,64
6,66
6,68
6,69
6,71
6,74
7,9
7,10
7,11
7,12
7,13
7,14
7,15
7,16
7,17
7,19
7,20
7,21
7,22
7,23
7,25
7,28
7,29
7,30
7,33
7,34
7,40
7,41
7,42
7,43
7,44
7,46
7,47
7,48
7,49
7,50
7,57
7,66
7,67
7,70
7,71
7,73
7,74
8,9
8,12
8,14
8,15
8,17
8,20
8,21
8,23
8,24
8,25
8,26
8,28
8,29
8,32
8,33
8,35
8,36
8,37
8,40
8,42
8,44
8,45
8,46
8,48
8,49
8,50
8,51
8,55
8,59
8,60
8,61
8,63
8,64
8,67
8,68
8,70
8,73
8,74
9,10
9,14
9,16
9,21
9,22
9,23
9,24
9,25
9,27
9,29
9,30
9,36
9,39
9,41
9,42
9,44
9,46
9,50
9,51
9,52
9,53
9,55
9,56
9,59
9,60
9,61
9,64
9,65
9,66
9,67
9,68
9,69
9,70
9,71
9,75
10,11
10,21
10,22
10,23
10,26
10,29
10,30
10,34
10,35
10,36
10,39
10,42
10,43
10,45
10,47
10,49
10,50
10,51
10,52
10,54
10,55
10,56
10,57
10,58
10,59
10,62
10,63
10,65
10,66
10,67
10,68
10,70
10,71
10,73
10,74
10,75
11,13
11,15
11,17
11,18
11,19
11,22
11,25
11,26
11,27
11,30
11,32
11,34
11,35
11,38
11,40
11,41
11,43
11,46
11,48
11,51
11,54
11,56
11,57
11,58
11,59
11,61
11,62
11,63
11,64
11,65
11,66
11,67
11,68
11,69
11,71
11,73
11,74
11,75
12,13
12,16
12,17
12,19
12,26
12,31
12,32
12,33
12,34
12,36
12,37
12,38
12,40
12,46
12,48
12,50
12,51
12,53
12,55
12,56
12,58
12,60
12,61
12,62
12,63
12,64
12,65
12,70
12,72
12,73
12,74
13,14
13,15
13,19
13,22
13,23
13,26
13,27
13,28
13,29
13,31
13,35
