exam_i,exam_j
1,6
1,7
1,8
1,12
1,15
1,16
1,18
1,20
1,21
1,22
1,24
1,27
1,30
1,32
1,33
1,35
1,36
1,38
1,39
1,41
1,43
1,44
1,45
1,47
1,50
1,51
1,53
1,54
1,55
1,57
1,59
1,62
1,64
1,65
1,66
1,67
1,69
1,70
1,71
1,72
1,75
1,77
1,80
1,81
1,82
1,83
1,84
1,85
2,6
2,7
2,10
2,12
2,13
2,14
2,17
2,18
2,19
2,25
2,29
2,32
2,34
2,36
2,37
2,42
2,43
2,44
2,49
2,51
2,53
2,54
2,56
2,59
2,60
2,63
2,65
2,66
2,67
2,68
2,74
2,77
2,79
2,80
2,83
3,4
3,7
3,10
3,11
3,13
3,14
3,17
3,18
3,22
3,23
3,24
3,29
3,32
3,34
3,38
3,43
3,44
3,49
3,54
3,55
3,56
3,58
3,64
3,65
3,66
3,67
3,73
3,75
3,76
3,78
3,79
3,80
3,82
3,84
3,85
4,5
4,6
4,8
4,10
4,12
4,16
4,17
4,22
4,23
4,27
4,28
4,35
4,38
4,39
4,40
4,41
4,44
4,45
4,46
4,47
4,51
4,52
4,53
4,55
4,59
4,60
4,63
4,65
4,72
4,73
4,75
4,76
4,78
4,79
4,82
4,84
5,6
5,8
5,9
5,10
5,12
5,13
5,14
5,16
5,17
5,18
5,19
5,20
5,23
5,24
5,25
5,26
5,28
5,29
5,30
5,32
5,33
5,36
5,39
5,41
5,43
5,45
5,46
5,48
5,49
5,53
5,54
5,55
5,57
5,61
5,63
5,64
5,65
5,66
5,70
5,74
5,75
5,76
5,77
5,78
5,80
5,81
5,82
5,84
5,85
6,9
6,11
6,12
6,13
6,14
6,17
6,18
6,19
6,20
6,21
6,23
6,24
6,25
6,27
6,28
6,29
6,33
6,37
6,38
6,39
6,41
6,45
6,47
6,48
6,52
6,55
6,57
6,59
6,62
6,63
6,65
6,69
6,70
6,74
6,75
6,76
6,77
6,78
6,80
6,82
6,83
6,85
7,8
7,10
7,13
7,16
7,17
7,21
7,22
7,23
7,25
7,26
7,28
7,31
7,35
7,38
7,40
7,41
7,45
7,46
7,49
7,50
7,51
7,52
7,53
7,54
7,55
7,56
7,57
7,59
7,61
7,62
7,65
7,71
7,72
7,75
7,77
7,81
7,82
7,84
7,85
8,9
8,10
8,11
8,13
8,17
8,18
8,20
8,25
8,27
8,28
8,29
8,30
8,31
8,33
8,35
8,36
8,37
8,39
8,43
8,45
8,47
8,48
8,51
8,53
8,54
8,59
8,60
8,62
8,70
8,71
8,72
8,73
8,74
8,75
8,76
8,78
8,81
8,83
8,84
8,85
9,13
9,16
9,17
9,18
9,20
9,21
9,22
9,23
9,24
9,28
9,33
9,34
9,37
9,46
9,48
9,49
9,51
9,52
9,54
9,55
9,58
9,60
9,63
9,64
9,65
9,67
9,68
9,70
9,72
9,73
9,75
9,77
9,78
9,79
9,80
9,81
9,82
9,85
10,11
10,17
10,18
10,21
10,23
10,24
10,25
10,27
10,28
10,29
10,32
10,33
10,34
10,35
10,39
10,41
10,42
10,43
10,44
10,46
10,49
10,50
10,53
10,54
10,57
10,58
10,59
10,60
10,62
10,66
10,67
10,69
10,70
10,76
10,77
10,79
10,80
10,81
10,85
11,12
11,13
11,15
11,16
11,17
11,19
11,20
11,23
11,24
11,25
11,26
11,30
11,32
11,33
11,36
11,37
11,38
11,39
11,40
11,41
11,51
11,56
11,58
11,59
11,60
11,61
11,63
11,64
11,65
11,66
11,67
11,70
11,71
11,72
11,73
11,76
11,78
11,79
11,82
11,83
11,84
12,14
12,15
12,20
12,21
12,22
12,24
12,25
12,27
12,28
12,30
12,35
12,36
12,41
12,42
12,43
12,44
12,45
12,47
12,50
12,52
12,53
12,55
12,56
12,57
12,58
12,61
12,62
12,64
12,68
12,69
12,70
12,71
12,72
12,73
12,81
12,83
12,84
12,85
13,15
13,17
13,19
13,20
13,21
13,22
13,23
13,24
13,28
13,31
13,33
13,37
13,38
13,39
13,41
13,42
13,46
13,47
13,49
13,51
13,53
13,55
13,56
13,59
13,60
13,61
13,62
13,63
13,64
13,65
13,66
13,67
13,70
13,71
13,72
13,74
13,75
13,76
13,77
13,78
13,80
13,81
13,82
13,84
13,85
14,15
14,17
14,19
14,25
14,26
14,27
14,32
14,33
14,34
14,36
14,39
14,40
14,41
14,44
14,46
14,47
14,49
14,52
14,55
14,56
14,57
14,58
14,59
14,61
14,63
14,64
14,65
14,67
14,68
14,70
14,76
14,79
14,81
14,82
14,83
14,85
15,17
15,19
15,21
15,24
15,27
15,28
15,29
15,34
15,35
15,36
15,38
15,40
15,42
15,43
15,44
15,45
15,49
15,51
15,52
15,54
15,55
15,56
15,57
15,60
15,62
15,63
15,65
15,67
15,68
15,70
15,71
15,72
15,73
15,74
15,75
15,77
15,78
15,81
