exam_i,exam_j
1,2
1,3
1,5
1,6
1,10
1,13
1,14
1,15
1,18
1,19
1,21
1,24
1,25
1,29
1,30
1,33
1,34
1,38
1,40
1,42
1,43
1,46
1,47
1,50
1,52
1,53
1,57
1,61
1,62
1,63
1,64
1,70
1,74
1,75
1,76
1,81
1,82
1,83
1,86
1,87
2,4
2,9
2,12
2,20
2,22
2,24
2,25
2,26
2,27
2,30
2,32
2,33
2,34
2,35
2,37
2,38
2,43
2,44
2,45
2,46
2,48
2,49
2,51
2,54
2,57
2,58
2,60
2,61
2,62
2,64
2,67
2,70
2,71
2,73
2,74
2,75
2,78
2,79
2,80
2,83
3,4
3,5
3,6
3,7
3,9
3,10
3,11
3,12
3,15
3,18
3,19
3,21
3,25
3,26
3,29
3,30
3,32
3,33
3,34
3,36
3,39
3,42
3,45
3,46
3,47
3,48
3,49
3,50
3,52
3,59
3,61
3,64
3,65
3,66
3,67
3,71
3,73
3,76
3,77
3,78
3,80
3,81
3,84
3,87
4,5
4,6
4,8
4,9
4,10
4,13
4,14
4,17
4,23
4,24
4,26
4,27
4,28
4,31
4,34
4,35
4,37
4,38
4,39
4,40
4,42
4,45
4,47
4,48
4,49
4,51
4,55
4,56
4,58
4,61
4,63
4,65
4,67
4,69
4,70
4,71
4,77
4,78
4,83
4,87
5,8
5,10
5,12
5,14
5,16
5,17
5,20
5,21
5,28
5,31
5,33
5,34
5,36
5,37
5,41
5,45
5,46
5,47
5,53
5,56
5,59
5,60
5,61
5,64
5,66
5,69
5,71
5,72
5,74
5,77
5,79
5,80
5,81
5,83
5,84
5,86
5,87
6,7
6,8
6,9
6,10
6,11
6,12
6,13
6,15
6,18
6,21
6,23
6,24
6,31
6,32
6,33
6,34
6,45
6,46
6,48
6,49
6,50
6,51
6,52
6,54
6,56
6,58
6,60
6,62
6,63
6,65
6,66
6,67
6,70
6,71
6,72
6,74
6,75
6,76
6,81
6,82
6,87
7,9
7,12
7,14
7,19
7,22
7,24
7,25
7,26
7,27
7,28
7,30
7,31
7,32
7,38
7,41
7,42
7,44
7,45
7,49
7,50
7,51
7,52
7,53
7,54
7,55
7,60
7,61
7,62
7,64
7,65
7,67
7,68
7,69
7,70
7,71
7,73
7,75
7,78
7,79
7,80
7,81
7,83
7,87
8,10
8,16
8,17
8,18
8,20
8,21
8,22
8,23
8,27
8,28
8,29
8,30
8,31
8,33
8,35
8,36
8,37
8,40
8,43
8,44
8,46
8,50
8,52
8,54
8,56
8,58
8,61
8,62
8,63
8,65
8,66
8,68
8,69
8,70
8,71
8,73
8,74
8,75
8,79
8,80
8,81
8,82
8,83
8,84
8,85
9,12
9,13
9,14
9,15
9,16
9,18
9,23
9,24
9,28
9,33
9,35
9,36
9,38
9,41
9,42
9,43
9,44
9,45
9,46
9,47
9,49
9,51
9,52
9,53
9,54
9,58
9,60
9,61
9,64
9,65
9,66
9,67
9,68
9,69
9,71
9,72
9,76
9,77
9,78
9,79
9,81
9,84
9,86
10,11
10,12
10,13
10,14
10,15
10,16
10,19
10,20
10,23
10,25
10,26
10,32
10,33
10,34
10,36
10,40
10,41
10,43
10,44
10,45
10,47
10,51
10,53
10,55
10,56
10,58
10,60
10,61
10,64
10,66
10,68
10,69
10,70
10,76
10,79
10,81
10,82
10,83
10,87
11,12
11,13
11,14
11,15
11,16
11,17
11,18
11,19
11,20
11,22
11,23
11,25
11,27
11,29
11,31
11,34
11,35
11,37
11,40
11,43
11,44
11,47
